section,metric,period,value
quarter,revenue,Q4FY25,11.32
quarter,gaap_ni,Q4FY25,3.2
quarter,gaap_eps,Q4FY25,2.83
quarter,non_gaap_ni,Q4FY25,3.47
quarter,non_gaap_eps,Q4FY25,3.03
quarter,ocf,Q4FY25,5.73
quarter,capex,Q4FY25,4.93
quarter,fcf,Q4FY25,0.8
quarter,gross_margin_pct,Q4FY25,44.7
quarter,revenue,Q1FY26,13.64
quarter,gaap_ni,Q1FY26,5.24
quarter,gaap_eps,Q1FY26,4.6
quarter,non_gaap_ni,Q1FY26,5.48
quarter,non_gaap_eps,Q1FY26,4.78
quarter,ocf,Q1FY26,8.41
quarter,capex,Q1FY26,4.5
quarter,fcf,Q1FY26,3.9
quarter,gross_margin_pct,Q1FY26,56.0
quarter,revenue,Q2FY26,23.86
quarter,gaap_ni,Q2FY26,13.79
quarter,gaap_eps,Q2FY26,12.07
quarter,non_gaap_ni,Q2FY26,14.02
quarter,non_gaap_eps,Q2FY26,12.2
quarter,ocf,Q2FY26,11.9
quarter,capex,Q2FY26,5.0
quarter,fcf,Q2FY26,6.9
quarter,gross_margin_pct,Q2FY26,73.0
quarter,revenue,Q3FY26,41.46
quarter,gaap_ni,Q3FY26,28.24
quarter,gaap_eps,Q3FY26,24.67
quarter,non_gaap_ni,Q3FY26,28.86
quarter,non_gaap_eps,Q3FY26,25.11
quarter,ocf,Q3FY26,25.39
quarter,capex,Q3FY26,7.1
quarter,fcf,Q3FY26,18.3
quarter,gross_margin_pct,Q3FY26,84.6
annual,revenue,FY2016,12.4
annual,gaap_ni,FY2016,-0.28
annual,revenue,FY2017,20.32
annual,gaap_ni,FY2017,5.09
annual,revenue,FY2018,30.39
annual,gaap_ni,FY2018,14.14
annual,revenue,FY2019,23.41
annual,gaap_ni,FY2019,6.31
annual,revenue,FY2020,21.44
annual,gaap_ni,FY2020,2.69
annual,revenue,FY2021,27.71
annual,gaap_ni,FY2021,5.86
annual,revenue,FY2022,30.76
annual,gaap_ni,FY2022,8.69
annual,revenue,FY2023,15.54
annual,gaap_ni,FY2023,-5.83
annual,revenue,FY2024,25.11
annual,gaap_ni,FY2024,0.78
annual,revenue,FY2025,37.38
annual,gaap_ni,FY2025,8.54
annual,ocf,FY2025,17.5
annual,capex,FY2025,13.8
market,price,2026-09-09,1000.26
market,price_date,2026-09-09,2026-09-08
market,week52_high,2026-09-09,1255.0
market,week52_low,2026-09-09,138.34
market,ytd_return_pct,2026-09-09,206
market,shares_outstanding_basic_m,2026-09-09,1129
market,shares_diluted_weighted_m,2026-09-09,1145
market,annual_dividend_per_share,2026-09-09,0.6
market,buyback_9m_fy26,2026-09-09,0.65
market,buyback_authorization_remaining_approx,2026-09-09,10.0
market,sellside_high_target,2026-09-09,2200
balance_sheet_2026-05-28,cash_and_investments,2026-09-09,30.2
balance_sheet_2026-05-28,total_debt,2026-09-09,5.7
balance_sheet_2026-05-28,net_cash,2026-09-09,24.4
balance_sheet_2026-05-28,total_assets,2026-09-09,134.1
balance_sheet_2026-05-28,shareholders_equity,2026-09-09,100.7
balance_sheet_2026-05-28,book_value_per_share,2026-09-09,89.2
guidance_Q4FY26,revenue,2026-09-09,50.0
guidance_Q4FY26,revenue_range,2026-09-09,1.0
guidance_Q4FY26,non_gaap_eps,2026-09-09,30.73
guidance_Q4FY26,eps_range,2026-09-09,1.0
guidance_Q4FY26,fcf_min,2026-09-09,30.0
guidance_Q4FY26,capex,2026-09-09,10.0
guidance_Q4FY26,fy26_capex_net,2026-09-09,27.0
guidance_Q4FY26,report_date,2026-09-09,2026-09-30
consensus,fy26_non_gaap_eps_implied,2026-09-09,72.8
consensus,fy27_eps,2026-09-09,155.0
consensus,fy27_eps_90_days_ago,2026-09-09,102.7
consensus,citi_view,2026-09-09,memory prices peak ~Q2 CY2027; cut FY27/FY28 estimates and multiple; China capacity the key long-term risk
industry,trendforce_q3_2026_server_dram_contract_qoq_pct,2026-09-09,13-18
industry,trendforce_q3_2026_pc_dram_contract_qoq_pct,2026-09-09,15-20
industry,trendforce_q4_2026_pc_dram_contract_qoq_pct,2026-09-09,3-8
industry,trendforce_q3_2026_nand_contract_qoq_pct,2026-09-09,10-15
industry,hbm3e_price_per_stack_usd,2026-09-09,300
industry,hbm4_price_per_stack_usd,2026-09-09,550
