date,adj_close
2023-09-12,96.59
2023-09-13,97.63
2023-09-14,100.42
2023-09-15,98.97
2023-09-18,95.31
2023-09-19,95.13
2023-09-20,96.43
2023-09-21,99.48
2023-09-22,96.11
2023-09-25,92.65
2023-09-26,94.52
2023-09-27,95.8
2023-09-28,100.06
2023-09-29,102.88
2023-10-02,102.58
2023-10-03,101.79
2023-10-04,109.48
2023-10-05,108.59
2023-10-06,106.2
2023-10-09,102.83
2023-10-10,103.11
2023-10-11,103.53
2023-10-12,102.52
2023-10-13,102.34
2023-10-16,103.14
2023-10-17,105.18
2023-10-18,108.5
2023-10-19,109.15
2023-10-20,103.75
2023-10-23,105.83
2023-10-24,101.66
2023-10-25,101.16
2023-10-26,97.02
2023-10-27,97.03
2023-10-30,94.91
2023-10-31,95.49
2023-11-01,104.85
2023-11-02,104.71
2023-11-03,107.24
2023-11-06,103.29
2023-11-07,102.45
2023-11-08,104.39
2023-11-09,104.11
2023-11-10,105.21
2023-11-13,105.52
2023-11-14,102.55
2023-11-15,104.2
2023-11-16,101.83
2023-11-17,107.38
2023-11-20,105.85
2023-11-21,107.93
2023-11-22,107.94
2023-11-23,110.89
2023-11-24,109.01
2023-11-27,112.14
2023-11-28,111.75
2023-11-29,115.82
2023-11-30,117.89
2023-12-01,118.36
2023-12-04,115.77
2023-12-05,118.32
2023-12-06,119.9
2023-12-07,125.61
2023-12-08,124.28
2023-12-11,126.25
2023-12-12,128.08
2023-12-13,129.11
2023-12-14,129.87
2023-12-15,130.54
2023-12-18,128.35
2023-12-19,124.71
2023-12-20,123.31
2023-12-21,125.4
2023-12-22,130.88
2023-12-25,134.56
2023-12-26,138.64
2023-12-27,141.72
2023-12-28,144.56
2023-12-29,145.31
2024-01-01,148.52
2024-01-02,156.18
2024-01-03,154.74
2024-01-04,151.72
2024-01-05,160.39
2024-01-08,161.5
2024-01-09,166.01
2024-01-10,170.17
2024-01-11,164.78
2024-01-12,176.55
2024-01-15,185.66
2024-01-16,186.6
2024-01-17,190.62
2024-01-18,191.3
2024-01-19,186.57
2024-01-22,185.98
2024-01-23,187.96
2024-01-24,194.0
2024-01-25,197.93
2024-01-26,198.27
2024-01-29,206.03
2024-01-30,201.63
2024-01-31,206.22
2024-02-01,212.82
2024-02-02,211.06
2024-02-05,200.62
2024-02-06,195.53
2024-02-07,196.84
2024-02-08,199.81
2024-02-09,208.77
2024-02-12,202.91
2024-02-13,202.93
2024-02-14,206.69
2024-02-15,205.77
2024-02-16,192.4
2024-02-19,196.85
2024-02-20,210.18
2024-02-21,216.25
2024-02-22,210.7
2024-02-23,208.25
2024-02-26,209.56
2024-02-27,224.88
2024-02-28,228.85
2024-02-29,229.59
2024-03-01,239.95
2024-03-04,239.39
2024-03-05,252.36
2024-03-06,247.51
2024-03-07,244.2
2024-03-08,249.24
2024-03-11,259.5
2024-03-12,264.36
2024-03-13,266.63
2024-03-14,253.21
2024-03-15,248.14
2024-03-18,243.88
2024-03-19,240.22
2024-03-20,244.24
2024-03-21,241.93
2024-03-22,247.39
2024-03-25,247.97
2024-03-26,245.64
2024-03-27,246.46
2024-03-28,249.48
2024-03-29,255.62
2024-04-01,252.18
2024-04-02,250.52
2024-04-03,241.02
2024-04-04,252.23
2024-04-05,262.83
2024-04-08,261.5
2024-04-09,257.97
2024-04-10,249.09
2024-04-11,250.29
2024-04-12,251.76
2024-04-15,267.82
2024-04-16,269.69
2024-04-17,263.81
2024-04-18,246.15
2024-04-19,256.18
2024-04-22,257.56
2024-04-23,246.07
2024-04-24,247.33
2024-04-25,236.3
2024-04-26,260.81
2024-04-29,269.21
2024-04-30,273.61
2024-05-01,272.26
2024-05-02,256.23
2024-05-03,255.31
2024-05-06,244.31
2024-05-07,248.47
2024-05-08,233.85
2024-05-09,227.91
2024-05-10,235.92
2024-05-13,247.18
2024-05-14,239.04
2024-05-15,228.86
2024-05-16,234.64
2024-05-17,240.38
2024-05-20,233.75
2024-05-21,229.19
2024-05-22,224.73
2024-05-23,217.28
2024-05-24,213.13
2024-05-27,220.82
2024-05-28,225.18
2024-05-29,238.69
2024-05-30,238.11
2024-05-31,237.19
2024-06-03,230.68
2024-06-04,229.87
2024-06-05,221.47
2024-06-06,210.59
2024-06-07,214.79
2024-06-10,223.74
2024-06-11,229.11
2024-06-12,237.92
2024-06-13,239.63
2024-06-14,234.8
2024-06-17,235.37
2024-06-18,232.89
2024-06-19,225.67
2024-06-20,215.09
2024-06-21,206.24
2024-06-24,206.21
2024-06-25,207.09
2024-06-26,204.32
2024-06-27,212.76
2024-06-28,213.85
2024-07-01,217.41
2024-07-02,225.05
2024-07-03,219.87
2024-07-04,207.93
2024-07-05,212.41
2024-07-08,208.31
2024-07-09,216.19
2024-07-10,218.27
2024-07-11,224.59
2024-07-12,229.5
2024-07-15,216.36
2024-07-16,220.81
2024-07-17,216.64
2024-07-18,212.04
2024-07-19,209.44
2024-07-22,214.05
2024-07-23,219.49
2024-07-24,225.87
2024-07-25,215.49
2024-07-26,211.91
2024-07-29,198.11
2024-07-30,197.53
2024-07-31,200.92
2024-08-01,196.62
2024-08-02,197.98
2024-08-05,199.29
2024-08-06,205.06
2024-08-07,200.34
2024-08-08,195.68
2024-08-09,191.5
2024-08-12,201.25
2024-08-13,207.57
2024-08-14,206.84
2024-08-15,208.17
2024-08-16,208.84
2024-08-19,210.04
2024-08-20,208.8
2024-08-21,206.84
2024-08-22,199.6
2024-08-23,196.0
2024-08-26,205.38
2024-08-27,208.53
2024-08-28,208.91
2024-08-29,207.64
2024-08-30,208.01
2024-09-02,210.1
2024-09-03,206.29
2024-09-04,207.44
2024-09-05,208.86
2024-09-06,204.47
2024-09-09,199.95
2024-09-10,194.36
2024-09-11,188.59
2024-09-12,193.41
2024-09-13,180.89
2024-09-16,179.53
2024-09-17,176.44
2024-09-18,173.37
2024-09-19,173.85
2024-09-20,179.5
2024-09-23,179.88
2024-09-24,179.17
2024-09-25,176.08
2024-09-26,175.44
2024-09-27,180.04
2024-09-30,178.03
2024-10-01,172.34
2024-10-02,166.27
2024-10-03,161.14
2024-10-04,154.91
2024-10-07,159.81
2024-10-08,161.43
2024-10-09,160.35
2024-10-10,167.12
2024-10-11,164.03
2024-10-14,167.57
2024-10-15,171.41
2024-10-16,164.06
2024-10-17,156.98
2024-10-18,152.9
2024-10-21,156.88
2024-10-22,162.75
2024-10-23,157.19
2024-10-24,161.93
2024-10-25,160.18
2024-10-28,158.4
2024-10-29,155.95
2024-10-30,154.52
2024-10-31,146.76
2024-11-01,142.65
2024-11-04,137.74
2024-11-05,139.67
2024-11-06,148.19
2024-11-07,160.12
2024-11-08,158.6
2024-11-11,151.04
2024-11-12,149.31
2024-11-13,145.38
2024-11-14,153.79
2024-11-15,156.3
2024-11-18,153.1
2024-11-19,157.22
2024-11-20,159.62
2024-11-21,152.44
2024-11-22,150.16
2024-11-25,149.14
2024-11-26,149.22
2024-11-27,149.78
2024-11-28,148.35
2024-11-29,149.15
2024-12-02,146.69
2024-12-03,143.0
2024-12-04,149.28
2024-12-05,150.81
2024-12-06,152.7
2024-12-09,145.95
