date,adj_close
2023-09-12,45.54
2023-09-13,49.0
2023-09-14,50.62
2023-09-15,52.31
2023-09-18,53.36
2023-09-19,54.02
2023-09-20,55.15
2023-09-21,55.22
2023-09-22,54.22
2023-09-25,52.98
2023-09-26,51.4
2023-09-27,51.97
2023-09-28,53.04
2023-09-29,55.83
2023-10-02,56.89
2023-10-03,57.6
2023-10-04,58.98
2023-10-05,59.22
2023-10-06,56.35
2023-10-09,58.35
2023-10-10,57.84
2023-10-11,58.48
2023-10-12,58.3
2023-10-13,63.72
2023-10-16,66.17
2023-10-17,67.28
2023-10-18,65.39
2023-10-19,67.41
2023-10-20,65.97
2023-10-23,68.55
2023-10-24,65.88
2023-10-25,66.01
2023-10-26,68.15
2023-10-27,66.78
2023-10-30,67.3
2023-10-31,67.94
2023-11-01,70.18
2023-11-02,69.51
2023-11-03,71.27
2023-11-06,76.11
2023-11-07,73.21
2023-11-08,71.73
2023-11-09,73.06
2023-11-10,72.02
2023-11-13,69.56
2023-11-14,72.9
2023-11-15,75.37
2023-11-16,78.25
2023-11-17,81.19
2023-11-20,83.36
2023-11-21,81.77
2023-11-22,76.64
2023-11-23,78.18
2023-11-24,76.13
2023-11-27,76.64
2023-11-28,77.93
2023-11-29,75.48
2023-11-30,75.13
2023-12-01,79.5
2023-12-04,81.75
2023-12-05,78.34
2023-12-06,78.29
2023-12-07,78.71
2023-12-08,80.48
2023-12-11,82.71
2023-12-12,82.98
2023-12-13,82.84
2023-12-14,85.44
2023-12-15,82.33
2023-12-18,85.6
2023-12-19,86.9
2023-12-20,86.06
2023-12-21,85.01
2023-12-22,86.02
2023-12-25,82.77
2023-12-26,77.61
2023-12-27,78.84
2023-12-28,82.68
2023-12-29,82.68
2024-01-01,83.16
2024-01-02,83.46
2024-01-03,81.45
2024-01-04,82.76
2024-01-05,85.11
2024-01-08,85.51
2024-01-09,88.14
2024-01-10,85.84
2024-01-11,86.81
2024-01-12,85.22
2024-01-15,84.29
2024-01-16,85.25
2024-01-17,85.94
2024-01-18,88.41
2024-01-19,90.44
2024-01-22,87.64
2024-01-23,91.31
2024-01-24,87.46
2024-01-25,87.46
2024-01-26,88.48
2024-01-29,88.48
2024-01-30,89.99
2024-01-31,90.27
2024-02-01,87.9
2024-02-02,90.18
2024-02-05,90.21
2024-02-06,87.99
2024-02-07,88.29
2024-02-08,88.37
2024-02-09,89.39
2024-02-12,88.03
2024-02-13,88.61
2024-02-14,88.27
2024-02-15,92.62
2024-02-16,91.79
2024-02-19,95.41
2024-02-20,95.32
2024-02-21,98.65
2024-02-22,105.68
2024-02-23,104.66
2024-02-26,105.25
2024-02-27,102.67
2024-02-28,100.73
2024-02-29,99.25
2024-03-01,99.66
2024-03-04,102.52
2024-03-05,105.36
2024-03-06,104.03
2024-03-07,104.63
2024-03-08,100.43
2024-03-11,102.28
2024-03-12,101.72
2024-03-13,98.73
2024-03-14,96.81
2024-03-15,98.56
2024-03-18,98.98
2024-03-19,100.98
2024-03-20,99.83
2024-03-21,100.42
2024-03-22,99.87
2024-03-25,95.71
2024-03-26,95.4
2024-03-27,95.15
2024-03-28,93.42
2024-03-29,95.7
2024-04-01,101.95
2024-04-02,106.38
2024-04-03,106.65
2024-04-04,103.28
2024-04-05,102.88
2024-04-08,101.16
2024-04-09,101.75
2024-04-10,105.45
2024-04-11,105.44
2024-04-12,101.35
2024-04-15,105.53
2024-04-16,105.85
2024-04-17,110.25
2024-04-18,107.64
