scenario,month,fiscal_year,inst_total,mau_total,subs_paid,rev_subs_net,rev_ads,rev_aff,rev_b2b,rev_total,cogs_total,gross_profit,opex_total,ebit,cash_flow,cash_cum
base,1,1,1133.33,1133.33,27.99,315.67,0.0,0.0,0.0,315.67,461.33,-145.67,5324.0,-5469.67,-4486.54,-4486.54
base,2,1,1226.33,1385.62,56.94,522.41,0.0,0.0,0.0,522.41,463.86,58.55,1515.0,-1456.45,-482.03,-4968.57
base,3,1,1311.34,1631.22,86.71,729.21,0.0,0.0,0.0,729.21,466.31,262.89,1530.45,-1267.56,-316.11,-5284.68
base,4,1,1464.32,1945.01,119.07,956.64,47.8,0.0,0.0,1004.44,469.45,534.99,2046.36,-1511.37,-530.62,-5815.3
base,5,1,1564.93,2216.31,152.7,1182.72,54.03,0.0,0.0,1236.74,472.8,763.95,2087.75,-1323.81,-371.27,-6186.57
base,6,1,1671.44,2495.44,187.79,1415.16,60.41,0.0,0.0,1475.57,478.01,997.57,2130.89,-1133.32,-211.8,-6398.37
base,7,1,1785.05,2784.44,224.55,1655.68,67.02,27.84,0.0,1750.54,610.03,1140.51,2175.84,-1035.33,-147.06,-6545.42
base,8,1,1906.3,3084.73,263.19,1905.87,73.87,30.85,0.0,2010.58,635.62,1374.97,2222.69,-847.72,4.95,-6540.47
base,9,1,2035.7,3397.79,303.93,2167.3,81.0,33.98,0.0,2282.27,662.48,1619.79,2271.53,-651.74,162.86,-6377.61
base,10,1,2173.84,3725.14,346.98,2441.5,88.44,37.25,0.0,2567.19,690.77,1876.42,2322.43,-446.02,327.87,-6049.74
base,11,1,2321.32,4068.33,392.55,2730.03,96.23,40.68,0.0,2866.94,720.63,2146.31,2375.51,-229.19,501.21,-5548.53
base,12,1,2478.81,4428.98,440.87,3034.44,104.41,44.29,0.0,3183.14,752.2,2430.94,2430.84,0.09,684.05,-4864.48
base,13,2,2647.01,4798.24,481.62,3305.3,113.01,47.98,0.0,3466.29,1417.69,2048.61,4687.54,-2638.94,-1493.3,-6357.78
base,14,2,2826.49,5187.4,524.72,3591.04,122.07,51.87,0.0,3764.98,1494.1,2270.89,3648.71,-1377.83,-192.26,-6550.03
